proto,port
tcp,52848
tcp,52869
tcp,54045
tcp,54328
tcp,55055
tcp,55056
tcp,55555
tcp,55600
tcp,56737
tcp,56738
tcp,57294
tcp,57797
tcp,58080
tcp,60020
tcp,60443
tcp,61532
tcp,61900
tcp,62078
tcp,63331
tcp,64623
tcp,64680
tcp,65000
tcp,65129
tcp,65389
udp,2
udp,3
udp,7
udp,9
udp,13
udp,17
udp,19
udp,20
udp,21
udp,22
udp,23
udp,37
udp,38
udp,42
udp,49
udp,53
udp,67
udp,68
udp,69
udp,80
udp,88
udp,111
udp,112
udp,113
udp,120
udp,123
udp,135
udp,136
udp,137
udp,138
udp,139
udp,158
udp,161
udp,162
udp,177
udp,192
udp,199
udp,207
udp,217
udp,363
udp,389
udp,402
udp,407
udp,427
udp,434
udp,443
udp,445
udp,464
udp,497
udp,500
udp,502
udp,512
udp,513
udp,514
udp,515
udp,517
udp,518
udp,520
udp,539
udp,559
udp,593
udp,623
udp,626
udp,631
udp,639
udp,643
udp,657
udp,664
udp,682
udp,683
udp,684
udp,685
udp,686
udp,687
udp,688
udp,689
udp,764
udp,767
udp,772
udp,773
udp,774
udp,775
udp,776
udp,780
udp,781
udp,782
udp,786
udp,789
udp,800
udp,814
udp,826
udp,829
udp,838
udp,902
udp,903
udp,944
udp,959
udp,965
udp,983
udp,989
udp,990
udp,996
udp,997
udp,998
udp,999
udp,1000
udp,1001
udp,1007
udp,1008
udp,1012
udp,1013
udp,1014
udp,1019
udp,1020
udp,1021
udp,1022
udp,1023
udp,1024
udp,1025
udp,1026
udp,1027
udp,1028
udp,1029
udp,1030
udp,1031
udp,1032
udp,1033
udp,1034
udp,1035
udp,1036
udp,1037
udp,1038
udp,1039
udp,1040
udp,1041
udp,1042
udp,1043
udp,1044
udp,1045
udp,1046
udp,1047
udp,1048
udp,1049
udp,1050
udp,1051
udp,1053
udp,1054
udp,1055
udp,1056
udp,1057
udp,1058
udp,1059
udp,1060
udp,1064
udp,1065
udp,1066
udp,1067
udp,1068
udp,1069
udp,1070
udp,1072
udp,1080
udp,1081
udp,1087
udp,1088
udp,1090
udp,1100
udp,1101
udp,1105
udp,1124
udp,1200
udp,1214
udp,1234
udp,1346
udp,1419
udp,1433
udp,1434
udp,1455
udp,1457
udp,1484
udp,1485
udp,1524
udp,1645
udp,1646
udp,1701
udp,1718
udp,1719
udp,1761
udp,1782
udp,1804
udp,1812
udp,1813
udp,1885
udp,1886
udp,1900
udp,1901
udp,1993
udp,2000
udp,2002
udp,2048
udp,2049
udp,2051
udp,2148
udp,2160
udp,2161
udp,2222
udp,2223
udp,2343
udp,2345
